R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
21.925017501405378,6519768182.110297,2001967.8212586378,6517766214.289039
22.858462525213003,6521475314.823906,2176016.6897419286,6519299298.134164
23.83164843462835,6523329326.108498,2365195.0874903738,6520964131.021008
24.84626717502437,6525342781.300146,2570817.898298267,6522771963.401848
25.90408272537613,6527529311.258067,2794314.245458296,6524734997.012609
27.006934165050172,6529903701.477606,3037237.4039367917,6526866464.073669
28.15673887116042,6532481988.526217,3301275.604421813,6529180712.921796
29.35549585204998,6535281564.292205,3588263.7154660295,6531693300.576738
30.60528922269358,6538321288.769847,3900195.9915559245,6534421092.778291
31.908291828063696,6541621612.002368,4239239.931347642,6537382372.07102
33.2667690207591,6545204705.830723,4607751.276559414,6540596954.554163
34.68308259946409,6549094606.337278,5008290.3819579845,6544086315.95532
36.15969491508498,6553317367.694094,5443639.956788674,6547873727.737305
37.699173151703235,6557901228.364141,5916824.374329342,6551984403.989812
39.30419378978768,6562876790.56725,6431130.652165187,6556445659.915085
40.977547259425556,6568277213.97662,6990131.211632826,6561287082.764987
42.722142791661774,6574138424.813997,7597708.665706875,6566540716.148291
44.5410134763816,6580499341.408026,8258082.725423003,6572241258.682603
46.43732153552959,6587402117.46791,8975839.437060269,6578426278.030849
48.41436382083295,6594892404.401689,9755962.977400908,6585136441.424288
50.47557754558695,6603019633.98783,10603870.143491637,6592415763.844338
52.62454626046821,6611837323.005181,11525447.901065055,6600311875.104116
54.8650060837645,6621403401.309718,12527094.165121688,6608876307.144596
57.200852196853454,6631780564.973929,13615762.039444376,6618164802.934485
59.6361456162218,6643036656.464211,14799008.022617528,6628237648.441594
62.17512025380012,6655245073.454514,16085044.233149145,6639160029.221364
64.82219027788692,6668485208.541729,17482795.291053586,6651002413.250675
67.58195778746023,6682842921.717436,19001960.002333965,6663840961.715102
70.45922081321783,6698411048.016261,20653078.474396937,6677757969.541864
73.45898165925796,6715289942.527493,22447604.974575303,6692842337.5529175
76.58645559990201,6733588065.290229,24397987.095376577,6709190078.194852
79.84707994677916,6753422608.6845,26517751.802741364,6726904856.881759
83.2465235019376,6774920169.910351,28821598.84209446,6746098571.068256
86.79069641341599,6798217471.532638,31325502.29123206,6766891969.2414055
90.48576045040963,6823462132.94245,34046820.8477585,6789415312.094691
94.3381397158981,6850813495.812699,37004417.60446076,6813809078.208239
98.35453181535374,6880443506.853517,40218790.233960584,6840224716.619556
102.54191950095459,6912537661.061668,43712212.34516576,6868825448.716502
106.907582811541,6947296008.955831,47508887.03459544,6899787121.921235
111.45911172942375,6984934231.370073,51635113.71040867,6933299117.659665
116.20441937605082,7025684785.384921,56119469.26582702,6969565316.119094
121.15175576946868,7069798125.147663,60993004.857685074,7008805120.289978
126.30972216750305,7117544001.406517,66289459.648722485,7051254541.757794
131.68728602159004,7169212843.575985,72045492.91631082,7097167350.659674
137.29379656725789,7225117228.288366,78300936.14478485,7146816292.143581
143.13900107836693,7285593438.394954,85099066.83814694,7200494371.556807
149.23306181336224,7351003116.214841,92486905.76132198,7258516210.453519
155.58657368300274,7421735015.183154,100515539.85486028,7321219475.328294
162.21058267028732,7498206853.512436,109240472.74532643,7388966380.76711
169.11660503459356,7580867273.873915,118722005.432669,7462145268.441246
176.31664733342674,7670197912.628924,129025649.57371649,7541172263.055208
183.8232272965801,7766715582.201045,140222576.2058137,7626493005.995232
191.6493955889998,7870974569.913441,152390102.91534343,7718584466.998097
199.8087585001956,7983569056.403086,165612222.72885,7817956833.674236
208.3155015996361,8105135656.357408,179980178.1908819,7925155478.166526
217.1844143992587,8236356084.193151,195593084.58998084,8040762999.60317
226.43091606597673,8377959946.707107,212558606.3984452,8165401340.308661
236.07108222887416,8530727664.387526,230993691.42621368,8299733972.961312
246.12167292770908,8695493522.683783,251025367.645763,8444468155.038019
256.60016175130323,8873148853.856367,272791607.90409476,8600357245.952272
267.5247662164822,9064645349.50309,296442268.226324,8768203081.276764
278.91447944038543,9270998503.363914,322140106.01643723,8948858397.347477
290.789103161203,9493291183.115253,350061884.74777204,9143229298.367481
303.1692821647501,9732677329.304314,380399572.42947364,9352277756.87484
316.0765401767394,9990385778.90993,413361641.80074376,9577024137.109186
329.5333172831381,10267724210.040188,449174480.62535214,9818549729.414835
343.5630089436824,10566083203.724892,488083921.3625577,10077999282.362335
358.19000666636646,10886940417.889801,530356900.1294511,10356583517.760351
373.43974041362105,11231864867.993687,576283255.8067408,10655581612.186945
389.3387228139211,11602521307.82215,626177680.7221699,10976343627.09998
405.91459525566336,12000674703.726171,680381835.7168419,11320292868.00933
423.19617594347756,12428194794.635529,739266643.0004226,11688928151.635105
441.21351000049907,12887060730.026646,803234771.578681,12083825958.447966
459.9979217037167,13379365777.540478,872723331.0180764,12506642446.5224
